"jhi_year","module_name","pedagogy","printing","exam"
2024,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2016,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2021,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2026,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2017,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2015,"Education, Training and Development Practices","BLENDED","NONE","VENUE"
2015,"Education, Training and Development Practices","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2025,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2018,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2023,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2019,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2022,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2024,"Education, Training and Development Practices","BLENDED","NONE","ONLINE"
2016,"Training and Development Practices","BLENDED","NONE","ONLINE"
2021,"Training and Development Practices","BLENDED","NONE","ONLINE"
2026,"Training and Development Practices","BLENDED","NONE","ONLINE"
2017,"Training and Development Practices","BLENDED","NONE","VENUE"
2015,"Training and Development Practices","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Training and Development Practices","BLENDED","NONE","ONLINE"
2025,"Training and Development Practices","BLENDED","NONE","ONLINE"
2018,"Training and Development Practices","BLENDED","NONE","ONLINE"
2023,"Training and Development Practices","BLENDED","NONE","ONLINE"
2019,"Training and Development Practices","BLENDED","NONE","ONLINE"
2022,"Training and Development Practices","BLENDED","NONE","ONLINE"
2024,"Training and Development Practices","BLENDED","NONE","ONLINE"
2016,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2021,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2026,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2017,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2015,"Human Resource Provisioning","BLENDED","NONE","VENUE"
2015,"Human Resource Provisioning","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2025,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2018,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2023,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2019,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2022,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2024,"Human Resource Provisioning","BLENDED","NONE","ONLINE"
2016,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2021,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2026,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2017,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2015,"Human Resource Maintenance and Retention","BLENDED","NONE","VENUE"
2015,"Human Resource Maintenance and Retention","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2025,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2018,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2023,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2019,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2022,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2024,"Human Resource Maintenance and Retention","BLENDED","NONE","ONLINE"
2016,"Compensation Practices","BLENDED","NONE","ONLINE"
2021,"Compensation Practices","BLENDED","NONE","ONLINE"
2026,"Compensation Practices","BLENDED","NONE","ONLINE"
2017,"Compensation Practices","BLENDED","NONE","VENUE"
2015,"Compensation Practices","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Compensation Practices","BLENDED","NONE","ONLINE"
2025,"Compensation Practices","BLENDED","NONE","ONLINE"
2018,"Compensation Practices","BLENDED","NONE","ONLINE"
2023,"Compensation Practices","BLENDED","NONE","ONLINE"
2019,"Compensation Practices","BLENDED","NONE","ONLINE"
2022,"Compensation Practices","BLENDED","NONE","ONLINE"
2024,"Compensation Practices","BLENDED","NONE","ONLINE"
2016,"Performance Management Practices","BLENDED","NONE","ONLINE"
2021,"Performance Management Practices","BLENDED","NONE","ONLINE"
2026,"Performance Management Practices","BLENDED","NONE","ONLINE"
2017,"Performance Management Practices","BLENDED","NONE","VENUE"
2015,"Performance Management Practices","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Performance Management Practices","BLENDED","NONE","ONLINE"
2025,"Performance Management Practices","BLENDED","NONE","ONLINE"
2018,"Performance Management Practices","BLENDED","NONE","ONLINE"
2023,"Performance Management Practices","BLENDED","NONE","ONLINE"
2019,"Performance Management Practices","BLENDED","NONE","ONLINE"
2022,"Performance Management Practices","BLENDED","NONE","ONLINE"
2024,"Performance Management Practices","BLENDED","NONE","ONLINE"
2016,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2021,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2026,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2017,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2015,"Human Resource Mngt for Line Managers","BLENDED","NONE","VENUE"
2015,"Human Resource Mngt for Line Managers","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2025,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2018,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2023,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2019,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2022,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2024,"Human Resource Mngt for Line Managers","BLENDED","NONE","ONLINE"
2016,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2021,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2026,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2017,"Labour Relations Management: Macro","BLENDED","NONE","VENUE"
2015,"Labour Relations Management: Macro","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2025,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2018,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2023,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2019,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2022,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2024,"Labour Relations Management: Macro","BLENDED","NONE","ONLINE"
2016,"Management of Human Resource Development","BLENDED","NONE","VENUE"
2021,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2026,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2017,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2015,"Management of Human Resource Development","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2025,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2018,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2023,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2019,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2022,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2024,"Management of Human Resource Development","ONLINE","NONE","VENUE"
2016,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2021,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2026,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2017,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2015,"Applied Human Resource Development  Comp.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Applied Human Resource Development  Comp.","BLENDED","NONE","NONE VENUE"
2025,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2018,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2023,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2019,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2022,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2024,"Applied Human Resource Development  Comp.","ONLINE","NONE","NONE VENUE"
2016,"Management of Training and Development ","ONLINE","NONE","VENUE"
2021,"Management of Training and Development ","ONLINE","NONE","VENUE"
2026,"Management of Training and Development ","ONLINE","NONE","VENUE"
2017,"Management of Training and Development ","ONLINE","NONE","VENUE"
2015,"Management of Training and Development ","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Management of Training and Development ","ONLINE","NONE","VENUE"
2025,"Management of Training and Development ","ONLINE","NONE","VENUE"
2018,"Management of Training and Development ","BLENDED","NONE","VENUE"
2023,"Management of Training and Development ","ONLINE","NONE","VENUE"
2019,"Management of Training and Development ","ONLINE","NONE","VENUE"
2022,"Management of Training and Development ","ONLINE","NONE","VENUE"
2024,"Management of Training and Development ","ONLINE","NONE","VENUE"
2016,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2021,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2026,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2017,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2015,"Applied Human Resource Management Comp.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Applied Human Resource Management Comp.","BLENDED","NONE","NONE VENUE"
2025,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2018,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2023,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2019,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2022,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2024,"Applied Human Resource Management Comp.","ONLINE","NONE","NONE VENUE"
2016,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2021,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2026,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2017,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2015,"Mngt of Employee Wellbeing, Health and Safety","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2025,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2018,"Mngt of Employee Wellbeing, Health and Safety","BLENDED","NONE","VENUE"
2023,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2019,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2022,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2024,"Mngt of Employee Wellbeing, Health and Safety","ONLINE","NONE","VENUE"
2016,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2021,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2026,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2017,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2015,"Human Resource Information Systems and Tech.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Human Resource Information Systems and Tech.","BLENDED","NONE","VENUE"
2025,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2018,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2023,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2019,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2022,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2024,"Human Resource Information Systems and Tech.","ONLINE","NONE","VENUE"
2016,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2021,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2026,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2017,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2015,"Contemporary Issues in Human Resource Mngt","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2025,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2018,"Contemporary Issues in Human Resource Mngt","BLENDED","NONE","VENUE"
2023,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2019,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2022,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2024,"Contemporary Issues in Human Resource Mngt","ONLINE","NONE","VENUE"
2016,"Compensation Management","ONLINE","NONE","VENUE"
2021,"Compensation Management","ONLINE","NONE","VENUE"
2026,"Compensation Management","ONLINE","NONE","VENUE"
2017,"Compensation Management","ONLINE","NONE","VENUE"
2015,"Compensation Management","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Compensation Management","ONLINE","NONE","VENUE"
2025,"Compensation Management","ONLINE","NONE","VENUE"
2018,"Compensation Management","BLENDED","NONE","VENUE"
2023,"Compensation Management","ONLINE","NONE","VENUE"
2019,"Compensation Management","ONLINE","NONE","VENUE"
2022,"Compensation Management","ONLINE","NONE","VENUE"
2024,"Compensation Management","ONLINE","NONE","VENUE"
2016,"Performance Management","BLENDED","NONE","VENUE"
2021,"Performance Management","ONLINE","NONE","VENUE"
2026,"Performance Management","ONLINE","NONE","VENUE"
2017,"Performance Management","ONLINE","NONE","VENUE"
2015,"Performance Management","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Performance Management","ONLINE","NONE","VENUE"
2025,"Performance Management","ONLINE","NONE","VENUE"
2018,"Performance Management","ONLINE","NONE","VENUE"
2023,"Performance Management","ONLINE","NONE","VENUE"
2019,"Performance Management","ONLINE","NONE","VENUE"
2022,"Performance Management","ONLINE","NONE","VENUE"
2024,"Performance Management","ONLINE","NONE","VENUE"
2016,"Labour Relations Practices","BLENDED","NONE","VENUE"
2021,"Labour Relations Practices","ONLINE","NONE","VENUE"
2026,"Labour Relations Practices","ONLINE","NONE","VENUE"
2017,"Labour Relations Practices","ONLINE","NONE","VENUE"
2015,"Labour Relations Practices","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Labour Relations Practices","ONLINE","NONE","VENUE"
2025,"Labour Relations Practices","ONLINE","NONE","VENUE"
2018,"Labour Relations Practices","ONLINE","NONE","VENUE"
2023,"Labour Relations Practices","ONLINE","NONE","VENUE"
2019,"Labour Relations Practices","ONLINE","NONE","VENUE"
2022,"Labour Relations Practices","ONLINE","NONE","VENUE"
2024,"Labour Relations Practices","ONLINE","NONE","VENUE"
2016,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2021,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2026,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2017,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2015,"Applied Labour Relations Management Comp.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Applied Labour Relations Management Comp.","BLENDED","NONE","NONE VENUE"
2025,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2018,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2023,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2019,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2022,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2024,"Applied Labour Relations Management Comp.","ONLINE","NONE","NONE VENUE"
2016,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2021,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2026,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2017,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2015,"Labour Relations Management: Micro","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2025,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2018,"Labour Relations Management: Micro","BLENDED","NONE","VENUE"
2023,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2019,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2022,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2024,"Labour Relations Management: Micro","ONLINE","NONE","VENUE"
2016,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2021,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2026,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2017,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2015,"Strategic Human Resource Development","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2025,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2018,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2023,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2019,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2022,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2024,"Strategic Human Resource Development","ONLINE","NONE","VENUE"
2016,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2021,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2026,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2017,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2015,"Organization Development and Learning in the Context of Human Resource Development","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2025,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2018,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2023,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2019,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2022,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2024,"Organization Development and Learning in the Context of Human Resource Development","ONLINE","NONE","VENUE"
2016,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2021,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2026,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2017,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2015,"Advanced Human Resource Development","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2025,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2018,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2023,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2019,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2022,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2024,"Advanced Human Resource Development","ONLINE","NONE","VENUE"
2016,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2021,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2026,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2017,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2015,"Advanced Human Resource Management","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2025,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2018,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2023,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2019,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2022,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2024,"Advanced Human Resource Management","ONLINE","NONE","VENUE"
2016,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2021,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2026,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2017,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2015,"Advanced Labour Relations Management","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2025,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2018,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2023,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2019,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2022,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2024,"Advanced Labour Relations Management","ONLINE","NONE","VENUE"
2016,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2021,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2026,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2017,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2015,"Collective Bargaining and Negotiation","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2025,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2018,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2023,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2019,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2022,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2024,"Collective Bargaining and Negotiation","ONLINE","NONE","VENUE"
2016,"Business Management IA","BLENDED","NONE","ONLINE"
2021,"Business Management IA","BLENDED","NONE","ONLINE"
2026,"Business Management IA","BLENDED","NONE","ONLINE"
2017,"Business Management IA","BLENDED","NONE","VENUE"
2015,"Business Management IA","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Business Management IA","BLENDED","NONE","ONLINE"
2025,"Business Management IA","BLENDED","NONE","ONLINE"
2018,"Business Management IA","BLENDED","NONE","ONLINE"
2023,"Business Management IA","BLENDED","NONE","ONLINE"
2019,"Business Management IA","BLENDED","NONE","ONLINE"
2022,"Business Management IA","BLENDED","NONE","ONLINE"
2024,"Business Management IA","BLENDED","NONE","ONLINE"
2016,"Explosives IA","BLENDED","NONE","ONLINE"
2021,"Explosives IA","BLENDED","NONE","ONLINE"
2026,"Explosives IA","BLENDED","NONE","ONLINE"
2017,"Explosives IA","BLENDED","NONE","ONLINE"
2015,"Explosives IA","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Explosives IA","BLENDED","NONE","ONLINE"
2025,"Explosives IA","BLENDED","NONE","ONLINE"
2018,"Explosives IA","BLENDED","NONE","VENUE"
2023,"Explosives IA","BLENDED","NONE","ONLINE"
2019,"Explosives IA","BLENDED","NONE","ONLINE"
2022,"Explosives IA","BLENDED","NONE","ONLINE"
2024,"Explosives IA","BLENDED","NONE","ONLINE"
2016,"Management IA","BLENDED","NONE","ONLINE"
2021,"Management IA","BLENDED","NONE","ONLINE"
2026,"Management IA","BLENDED","NONE","ONLINE"
2017,"Management IA","BLENDED","NONE","VENUE"
2015,"Management IA","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Management IA","BLENDED","NONE","ONLINE"
2025,"Management IA","BLENDED","NONE","ONLINE"
2018,"Management IA","BLENDED","NONE","ONLINE"
2023,"Management IA","BLENDED","NONE","ONLINE"
2019,"Management IA","BLENDED","NONE","ONLINE"
2022,"Management IA","BLENDED","NONE","ONLINE"
2024,"Management IA","BLENDED","NONE","ONLINE"
2016,"Quality Management IA","BLENDED","NONE","ONLINE"
2021,"Quality Management IA","BLENDED","NONE","ONLINE"
2026,"Quality Management IA","BLENDED","NONE","ONLINE"
2017,"Quality Management IA","BLENDED","NONE","ONLINE"
2015,"Quality Management IA","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Quality Management IA","BLENDED","NONE","ONLINE"
2025,"Quality Management IA","BLENDED","NONE","ONLINE"
2018,"Quality Management IA","BLENDED","NONE","ONLINE"
2023,"Quality Management IA","BLENDED","NONE","ONLINE"
2019,"Quality Management IA","BLENDED","NONE","VENUE"
2022,"Quality Management IA","BLENDED","NONE","ONLINE"
2024,"Quality Management IA","BLENDED","NONE","ONLINE"
2016,"Business Management IB","BLENDED","NONE","ONLINE"
2021,"Business Management IB","BLENDED","NONE","ONLINE"
2026,"Business Management IB","BLENDED","NONE","ONLINE"
2017,"Business Management IB","BLENDED","NONE","VENUE"
2015,"Business Management IB","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Business Management IB","BLENDED","NONE","ONLINE"
2025,"Business Management IB","BLENDED","NONE","ONLINE"
2018,"Business Management IB","BLENDED","NONE","ONLINE"
2023,"Business Management IB","BLENDED","NONE","ONLINE"
2019,"Business Management IB","BLENDED","NONE","ONLINE"
